Country,Category,Description,Units,Year,Month,Quantity,Value,M2
Albania,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,1,37,14931,222
Albania,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,2,49,18108,294
Albania,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,137,37092,822
Albania,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,1,60,16078,360
Albania,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,2,58,17615,348
Albania,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,3,121,47017,726
Albania,352,Doz COTTON UNDERWEAR,DOZ,2025,1,2,286,18
Albania,352,Doz COTTON UNDERWEAR,DOZ,2025,2,2,290,18
Armenia,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,120,4752,720
Armenia,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,3,75,4339,450
Australia,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,1,14,6810,84
Australia,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,75,12851,450
Australia,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,1,40,4541,240
Australia,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,2,54,3692,324
Australia,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,3,26,7877,156
Austria,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,4,356,24
Austria,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,2,1,275,6
Austria,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,3,4,332,24
Bahamas,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,3,30,5826,180
Bahrain,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,2,1,488,6
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,1,2132170,43329731,12793020
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,2,2523302,50561285,15139812
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,2756052,57025429,16536312
Bangladesh,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,1,384070,8396615,2304420
Bangladesh,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,2,380111,7919368,2280666
Bangladesh,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,3,466603,9483214,2799618
Bangladesh,352,Doz COTTON UNDERWEAR,DOZ,2025,1,241484,4180384,2221653
Bangladesh,352,Doz COTTON UNDERWEAR,DOZ,2025,2,427264,6960378,3930829
Bangladesh,352,Doz COTTON UNDERWEAR,DOZ,2025,3,501045,8301055,4609614
Belgium,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,1,83,3116,498
Belgium,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,2,169,23518,1014
Belgium,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,13,9315,78
Belgium,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,1,177,11646,1062
Belgium,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,2,21,6064,126
Belgium,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,3,75,7849,450
Belgium,352,Doz COTTON UNDERWEAR,DOZ,2025,3,3,1653,28
Bosnia-Hercegovina,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,1,1,288,6
Bosnia-Hercegovina,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,29,10956,174
Bosnia-Hercegovina,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,1,3,1525,18
Bosnia-Hercegovina,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,2,4,1971,24
Bosnia-Hercegovina,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,3,8,5439,48
Brazil,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,1,154,11701,924
Brazil,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,2,11,4351,66
Brazil,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,88,4799,528
Brazil,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,1,8,1064,48
Brazil,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,2,5,1189,30
Brazil,352,Doz COTTON UNDERWEAR,DOZ,2025,1,6,525,55
Brunei,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,1,866,48985,5196
Brunei,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,2,578,32290,3468
Brunei,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,108,9354,648
Brunei,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,1,172,9163,1032
Brunei,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,2,732,89620,4392
Brunei,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,3,124,8015,744
Bulgaria,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,1,811,94519,4866
Bulgaria,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,2,1571,262772,9426
Bulgaria,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,946,152503,5676
Bulgaria,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,1,324,50139,1944
Bulgaria,339,"Doz W&G KNIT SHIRTS/BLOUSES, COTTON",DOZ,2025,2,367,52848,2202
