Country,Category,Description,Units,Year,Month,Quantity,Value,M2
Afghanistan,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,2,10,1130,201
Afghanistan,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,5,604,101
Albania,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,1,152,60457,3055
Albania,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,2,220,133429,4422
Albania,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,251,88880,5045
Armenia,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,19,1808,382
Australia,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,1,3,2809,60
Australia,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,2,19,11351,382
Australia,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,62,67892,1246
Austria,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,5,1930,101
Bangladesh,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,1,772153,47066858,15520275
Bangladesh,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,2,558704,35241359,11229950
Bangladesh,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,509635,32490923,10243664
Belgium,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,1,2,1720,40
Belgium,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,2,5,5057,101
Belgium,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,8,7260,161
Brazil,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,1,18,5300,362
Brazil,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,2,32,13667,643
Brazil,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,95,15165,1910
Brunei,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,2,50,5022,1005
Brunei,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,182,18377,3658
Bulgaria,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,1,199,44378,4000
Bulgaria,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,2,70,52805,1407
Bulgaria,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,137,91954,2754
Burma (Myanmar),340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,1,4370,573128,87837
Burma (Myanmar),340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,2,6741,914628,135494
Burma (Myanmar),340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,14361,2058896,288656
Cambodia,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,1,40476,1643307,813568
Cambodia,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,2,25603,2085375,514620
Cambodia,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,27561,2306981,553976
Canada,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,1,239,90791,4804
Canada,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,2,237,160899,4764
Canada,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,263,140299,5286
Chile,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,1,52,32300,1045
Chile,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,2,94,58650,1889
Chile,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,150,95430,3015
China,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,1,202422,12827146,4068682
China,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,2,164817,10752639,3312822
China,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,63734,4037125,1281053
Colombia,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,1,153,23497,3075
Colombia,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,2,240,57368,4824
Colombia,340,"Doz M&B COTTON SHIRTS, NOT KNIT",DOZ,2025,3,319,54080,6412
