Category,Description,Units,2023,2024,YTD Current Month/2024,YTD Current Month/2025,YTD % Change,YE Previous Month/2025,YE Current Month/2024,YE Current Month/2025,YE % Change,Percent Share
0,TOTAL TEXTILE AND APPAREL IMPORTS (MFA),$,25194739270,26073027243,5516938558,5715965763,3.61,26380672723,25397869527,26272054448,3.44,23.89
1,TOTAL APPAREL IMPORTS (MFA),$,16378367316,16511949928,3454201329,3596105525,4.11,16736264975,16361812122,16653854124,1.78,20.50
2,TOTAL NON-APPAREL IMPORTS (MFA),$,8816371954,9561077315,2062737229,2119860238,2.77,9644407748,9036057405,9618200324,6.44,33.43
11,TOTAL YARN IMPORTS,$,147286117,167390000,38531152,34333597,-10.89,165066824,155544208,163192445,4.92,12.60
12,TOTAL FABRIC IMPORTS,$,1021806677,1155481878,269845064,275363167,2.04,1162343724,1065585717,1160999981,8.95,18.11
14,TOTAL OTHER MISC. IMPORTS,$,7647279160,8238205437,1754361013,1810163474,3.18,8316997200,7814927480,8294007898,6.13,39.37
30,COTTON PRODUCTS,$,5880061001,6162323415,1448947142,1528062885,5.46,6258576855,5962286620,6241439158,4.68,13.71
31,COTTON APPAREL PRODUCTS,$,4204016372,4396076509,1027665639,1100980823,7.13,4479891237,4259524596,4469391693,4.93,11.92
32,COTTON NON-APPAREL PRODUCTS,$,1676044629,1766246906,421281503,427082062,1.38,1778685618,1702762024,1772047465,4.07,22.06
40,WOOL PRODUCTS,$,988402840,1049151535,117616197,128815717,9.52,1061232534,998738113,1060351055,6.17,24.85
41,WOOL APPAREL PRODUCTS,$,934077814,992393000,106538025,114725863,7.69,1002268501,945031078,1000580838,5.88,31.69
42,WOOL NON-APPAREL PRODUCTS,$,54325026,56758535,11078172,14089854,27.19,58964033,53707035,59770217,11.29,5.38
60,MAN-MADE FIBER PRODUCTS,$,17412090386,17867188052,3679838397,3768000387,2.40,18045758008,17498055601,17955350042,2.61,31.44
61,MAN-MADE FIBER APPAREL PRODUCTS,$,10635952953,10435237848,2122978558,2171729027,2.30,10552143349,10530152910,10483988317,-0.44,27.32
62,MAN-MADE FIBER NON-APPAREL,$,6776137433,7431950204,1556859839,1596271360,2.53,7493614659,6967902691,7471361725,7.23,39.87
71,SILK APPAREL PRODUCTS,$,259845251,270560921,65084802,59835850,-8.06,274227998,260606357,265311969,1.81,47.80
80,SILK AND VEG. PRODUCTS,$,914185043,994364241,270536822,291086774,7.60,1015105326,938789193,1014914193,8.11,32.92
81,SILK AND VEG. APPAREL,$,604320177,688242571,197019107,208669812,5.91,701961888,627103538,699893276,11.61,31.87
82,SILK & VEG. NON-APPAREL PRODUCTS,$,309864866,306121670,73517715,82416962,12.10,313143438,311685655,315020917,1.07,35.51
200,"YARN FOR RETAIL SALE,SEWING THREAD",$,33762407,32219391,7171857,7389122,3.03,32824234,35342842,32436656,-8.22,11.07
201,SPECIALTY YARNS,$,48551380,66571383,12984374,11981437,-7.72,65826881,52379332,65568446,25.18,22.20
218,FABRICS OF YARNS OF DIFF. COLORS,$,9715351,8134912,1571495,1665054,5.95,8178611,8848878,8228471,-7.01,9.47
219,DUCK FABRIC,$,1128719,1607332,420867,577704,37.27,1791608,1208783,1764169,45.95,5.16
220,FABRIC OF SPECIAL WEAVE,$,15669331,16751066,4384306,4279386,-2.39,16078569,15583345,16646146,6.82,10.61
222,KNIT FABRIC,$,97453745,105204836,25811970,20870188,-19.15,102347736,99255494,100263054,1.02,24.74
223,NON-WOVEN FABRICS,$,282725179,376520230,82031401,104369932,27.23,392823468,303462212,398858761,31.44,19.34
224,PILE & TUFTED FABRICS,$,168588448,184333766,45877981,39100849,-14.77,178933251,179567655,177556634,-1.12,60.10
225,BLUE DENIM FABRIC,$,1016721,919796,217760,355631,63.31,991793,893849,1057667,18.33,3.40
226,"CHEESECLOTH, BATISTES, LAWNS/VOILE",$,9303358,10345342,2664763,2036567,-23.57,10167432,9157345,9717146,6.11,25.79
227,OXFORD CLOTH,$,234613,229804,86279,74704,-13.42,265356,216411,218229,0.84,34.65
229,SPECIAL PURPOSE FABRIC,$,243713271,252982801,56636103,56295917,-0.60,254130481,250668839,252642615,0.79,15.10
237,"PLAYSUITS, SUNSUITS, ETC",$,45355311,36366083,10356489,9274441,-10.45,36001955,44598941,35284035,-20.89,20.51
239,BABIES' GARM. & CLOTH. ACCESS.,$,423846367,442843226,103626896,107203496,3.45,453625565,430017802,446419826,3.81,22.07
