Category,Description,Units,2023,2024,YTD Current Month/2024,YTD Current Month/2025,YTD % Change,YE Previous Month/2025,YE Current Month/2024,YE Current Month/2025,YE % Change,Percent Share
0,TOTAL TEXTILE AND APPAREL IMPORTS (MFA),$,7461522040,7510346687,1809077619,2277928318,25.92,7828163473,7080796866,7979197386,12.69,7.25
1,TOTAL APPAREL IMPORTS (MFA),$,7286980679,7340214661,1755851626,2223875969,26.66,7655824424,6909779627,7808239004,13.00,9.61
2,TOTAL NON-APPAREL IMPORTS (MFA),$,174541361,170132026,53225993,54052349,1.55,172339049,171017239,170958382,-0.03,0.59
11,TOTAL YARN IMPORTS,$,15892,805,0,310,,1115,15892,1115,-92.98,0.00
12,TOTAL FABRIC IMPORTS,$,3506516,3895344,811937,1403362,72.84,4275371,3118022,4486769,43.90,0.07
14,TOTAL OTHER MISC. IMPORTS,$,171018953,166235877,52414056,52648677,0.45,168062563,167883325,166470498,-0.84,0.79
30,COTTON PRODUCTS,$,5134504146,5194713633,1245888902,1521825374,22.15,5389728913,4955400507,5470650105,10.40,12.02
31,COTTON APPAREL PRODUCTS,$,5053051010,5121911599,1223870780,1503291973,22.83,5318612762,4876220508,5401332792,10.77,14.40
32,COTTON NON-APPAREL PRODUCTS,$,81453136,72802034,22018122,18533401,-15.83,71116151,79179999,69317313,-12.46,0.86
40,WOOL PRODUCTS,$,23973686,13919932,1806869,2235312,23.71,13856656,23992395,14348375,-40.20,0.34
41,WOOL APPAREL PRODUCTS,$,23973064,13918487,1806869,2231658,23.51,13852087,23991773,14343276,-40.22,0.45
42,WOOL NON-APPAREL PRODUCTS,$,622,1445,0,3654,,4569,622,5099,719.77,0.00
60,MAN-MADE FIBER PRODUCTS,$,2154618169,2119131119,482218730,656025743,36.04,2233518951,1957014556,2292938132,17.17,4.01
61,MAN-MADE FIBER APPAREL PRODUCTS,$,2063457206,2023244015,451341303,620947049,37.58,2133824670,1866836367,2192849761,17.46,5.71
62,MAN-MADE FIBER NON-APPAREL,$,91160963,95887104,30877427,35078694,13.61,99694281,90178189,100088371,10.99,0.53
71,SILK APPAREL PRODUCTS,$,314956,718602,78096,1154130,1377.83,1440729,249409,1794636,619.56,0.32
80,SILK AND VEG. PRODUCTS,$,148426039,182582003,79163118,97841889,23.60,191058953,144389408,201260774,39.39,6.53
81,SILK AND VEG. APPAREL,$,146499399,181140560,78832674,97405289,23.56,189534905,142730979,199713175,39.92,9.09
82,SILK & VEG. NON-APPAREL PRODUCTS,$,1926640,1441443,330444,436600,32.13,1524048,1658429,1547599,-6.68,0.17
200,"YARN FOR RETAIL SALE,SEWING THREAD",$,0,384,0,0,,384,0,384,,0.00
201,SPECIALTY YARNS,$,1582,0,0,310,,310,1582,310,-80.40,0.00
218,FABRICS OF YARNS OF DIFF. COLORS,$,0,546,0,0,,546,0,546,,0.00
219,DUCK FABRIC,$,1147,0,0,0,,0,1147,0,-100.00,0.00
220,FABRIC OF SPECIAL WEAVE,$,175907,6329,0,0,,6329,120806,6329,-94.76,0.00
222,KNIT FABRIC,$,7856,1500,0,11562,,7281,7856,13062,66.27,0.00
223,NON-WOVEN FABRICS,$,875712,972264,190759,219870,15.26,950121,825755,1001375,21.27,0.05
224,PILE & TUFTED FABRICS,$,0,3620,0,0,,3620,0,3620,,0.00
225,BLUE DENIM FABRIC,$,0,0,0,0,,0,0,0,,0.00
226,"CHEESECLOTH, BATISTES, LAWNS/VOILE",$,0,12549,12549,0,-100.00,12549,12549,0,-100.00,0.00
227,OXFORD CLOTH,$,0,0,0,0,,0,0,0,,0.00
229,SPECIAL PURPOSE FABRIC,$,2379085,2673975,557811,1099885,97.18,3056959,2057379,3216049,56.32,0.19
237,"PLAYSUITS, SUNSUITS, ETC",$,22827512,21558490,8639386,9328673,7.98,22914104,21646156,22247777,2.78,12.93
239,BABIES' GARM. & CLOTH. ACCESS.,$,213425383,248321654,60369302,66938040,10.88,252643992,220942092,254890392,15.37,12.60
300,CARDED COTTON YARN,$,11837,0,0,0,,0,11837,0,-100.00,0.00
313,COTTON SHEETING FABRIC,$,0,126170,11208,23335,108.20,149505,11208,138297,1133.91,0.06
314,COTTON POPLIN & BROADCLOTH FAB.,$,0,3035,0,0,,3035,0,3035,,0.00
315,COTTON PRINTCLOTH FABRIC,$,0,0,0,0,,0,0,0,,0.00
317,COTTON TWILL FABRIC,$,58776,10360,0,4030,,14390,34100,14390,-57.80,0.03
326,COTTON SATEEN FABRIC,$,0,0,0,18500,,0,0,18500,,0.15
