Category,Description,Units,2023,2024,YTD Current Month/2024,YTD Current Month/2025,YTD % Change,YE Previous Month/2025,YE Current Month/2024,YE Current Month/2025,YE % Change,Percent Share
0,TOTAL TEXTILE AND APPAREL IMPORTS (MFA),$,2448429540,2339713544,541669797,485532258,-10.36,2265381680,2419161991,2283576005,-5.60,2.08
1,TOTAL APPAREL IMPORTS (MFA),$,2418627758,2315795080,534145753,480484509,-10.05,2243526198,2389947780,2262133836,-5.35,2.79
2,TOTAL NON-APPAREL IMPORTS (MFA),$,29801782,23918464,7524044,5047749,-32.91,21855482,29214211,21442169,-26.60,0.07
11,TOTAL YARN IMPORTS,$,4136534,1485051,1079105,58412,-94.59,644534,4424869,464358,-89.51,0.04
12,TOTAL FABRIC IMPORTS,$,1165343,724867,176997,148175,-16.28,639068,643930,696045,8.09,0.01
14,TOTAL OTHER MISC. IMPORTS,$,24499905,21708546,6267942,4841162,-22.76,20571880,24145412,20281766,-16.00,0.10
30,COTTON PRODUCTS,$,1267356413,1254204011,295257799,250136743,-15.28,1200898081,1291702321,1209082955,-6.40,2.66
31,COTTON APPAREL PRODUCTS,$,1263502762,1252466696,294170550,250002627,-15.01,1200006462,1287828013,1208298773,-6.18,3.22
32,COTTON NON-APPAREL PRODUCTS,$,3853651,1737315,1087249,134116,-87.66,891619,3874308,784182,-79.76,0.01
40,WOOL PRODUCTS,$,1306956,1407666,306825,94473,-69.21,1252084,1308617,1195314,-8.66,0.03
41,WOOL APPAREL PRODUCTS,$,1256534,1393000,292635,94096,-67.85,1251231,1247315,1194461,-4.24,0.04
42,WOOL NON-APPAREL PRODUCTS,$,50422,14666,14190,377,-97.34,853,61302,853,-98.61,0.00
60,MAN-MADE FIBER PRODUCTS,$,1178572897,1081970461,245549611,235175692,-4.22,1061509240,1124652749,1071596542,-4.72,1.88
61,MAN-MADE FIBER APPAREL PRODUCTS,$,1152677239,1059809614,239127908,230262436,-3.71,1040550964,1099375470,1050944142,-4.41,2.74
62,MAN-MADE FIBER NON-APPAREL,$,25895658,22160847,6421703,4913256,-23.49,20958276,25277279,20652400,-18.30,0.11
71,SILK APPAREL PRODUCTS,$,19871,54468,11653,0,-100.00,52321,30437,42815,40.67,0.01
80,SILK AND VEG. PRODUCTS,$,1193274,2131406,555562,125350,-77.44,1722275,1498304,1701194,13.54,0.06
81,SILK AND VEG. APPAREL,$,1191223,2125770,554660,125350,-77.40,1717541,1496982,1696460,13.33,0.08
82,SILK & VEG. NON-APPAREL PRODUCTS,$,2051,5636,902,0,-100.00,4734,1322,4734,258.09,0.00
200,"YARN FOR RETAIL SALE,SEWING THREAD",$,77096,91825,1539,0,-100.00,90286,73351,90286,23.09,0.03
201,SPECIALTY YARNS,$,421070,22178,0,0,,22178,199075,22178,-88.86,0.01
218,FABRICS OF YARNS OF DIFF. COLORS,$,0,0,0,0,,0,0,0,,0.00
219,DUCK FABRIC,$,0,0,0,0,,0,0,0,,0.00
220,FABRIC OF SPECIAL WEAVE,$,318172,0,0,0,,0,0,0,,0.00
222,KNIT FABRIC,$,327178,405955,114845,79154,-31.08,357365,434855,370264,-14.85,0.09
223,NON-WOVEN FABRICS,$,2660,0,0,0,,0,2660,0,-100.00,0.00
224,PILE & TUFTED FABRICS,$,549,0,0,0,,0,0,0,,0.00
225,BLUE DENIM FABRIC,$,0,0,0,0,,0,0,0,,0.00
226,"CHEESECLOTH, BATISTES, LAWNS/VOILE",$,67835,64023,26719,0,-100.00,37304,92893,37304,-59.84,0.10
227,OXFORD CLOTH,$,0,0,0,0,,0,0,0,,0.00
229,SPECIAL PURPOSE FABRIC,$,32450,144789,22561,42136,86.76,134308,52232,164364,214.68,0.01
237,"PLAYSUITS, SUNSUITS, ETC",$,3330,17324,11009,967,-91.22,6315,13988,7282,-47.94,0.00
239,BABIES' GARM. & CLOTH. ACCESS.,$,275460,356549,38151,53151,39.32,377778,219573,371549,69.21,0.02
300,CARDED COTTON YARN,$,1061352,0,0,0,,0,627692,0,-100.00,0.00
301,COMBED COTTON YARN,$,1677770,1369628,1077566,0,-100.00,530650,2755336,292062,-89.40,0.72
313,COTTON SHEETING FABRIC,$,0,0,0,0,,0,0,0,,0.00
314,COTTON POPLIN & BROADCLOTH FAB.,$,0,1081,1081,483,-55.32,483,1081,483,-55.32,0.00
315,COTTON PRINTCLOTH FABRIC,$,0,0,0,0,,0,0,0,,0.00
317,COTTON TWILL FABRIC,$,372954,2452,0,379,,2831,7226,2831,-60.82,0.01
326,COTTON SATEEN FABRIC,$,0,0,0,0,,0,0,0,,0.00
330,COTTON HANDKERCHIEFS,$,3501,10555,0,270,,10825,3110,10825,248.07,0.10
331,COTTON GLOVES AND MITTENS,$,154951,599890,103949,110481,6.28,586296,251093,606422,141.51,1.16
332,COTTON HOSIERY,$,100659251,128902322,27115885,30312990,11.79,130059741,110432994,132099427,19.62,18.81
333,"M&B SUIT-TYPE COATS, COTTON",$,3801,0,0,0,,0,1914,0,-100.00,0.00
334,"OTHER M&B COATS, COTTON",$,31573863,7570478,2013662,665988,-66.93,6363401,28551823,6222804,-78.21,0.79
335,W&G COTTON COATS,$,668804,547615,173071,11216,-93.52,421314,619729,385760,-37.75,0.05
336,COTTON DRESSES,$,227833,146137,54701,45435,-16.94,112186,182524,136871,-25.01,0.01
