Category,Description,Units,2023,2024,YTD Current Month/2024,YTD Current Month/2025,YTD % Change,YE Previous Month/2025,YE Current Month/2024,YE Current Month/2025,YE % Change,Percent Share
0,TOTAL TEXTILE AND APPAREL IMPORTS (MFA),$,8990890180,9592230771,2310638040,2774358485,20.07,9915069936,8883945976,10055951216,13.19,9.14
1,TOTAL APPAREL IMPORTS (MFA),$,4470026564,4690572286,1215562595,1507797583,24.04,4886501243,4353351953,4982807274,14.46,6.13
2,TOTAL NON-APPAREL IMPORTS (MFA),$,4520863616,4901658485,1095075445,1266560902,15.66,5028568693,4530594023,5073143942,11.98,17.63
11,TOTAL YARN IMPORTS,$,129620084,146872005,32186897,35842655,11.36,149793917,132329456,150527763,13.75,11.62
12,TOTAL FABRIC IMPORTS,$,604839581,686496457,154482857,174046996,12.66,703783113,621737652,706060596,13.56,11.02
14,TOTAL OTHER MISC. IMPORTS,$,3786403951,4068290023,908405691,1056671251,16.32,4174991663,3776526915,4216555583,11.65,20.02
30,COTTON PRODUCTS,$,6028943858,6399174089,1516447928,1831005741,20.74,6618863193,5944163780,6713731902,12.95,14.75
31,COTTON APPAREL PRODUCTS,$,3294235947,3516051231,859326781,1115367374,29.80,3685055302,3206621531,3772091824,17.63,10.06
32,COTTON NON-APPAREL PRODUCTS,$,2734707911,2883122858,657121147,715638367,8.91,2933807891,2737542249,2941640078,7.46,36.62
40,WOOL PRODUCTS,$,513535426,534839561,124151703,151518079,22.04,548088525,505512155,562205937,11.22,13.17
41,WOOL APPAREL PRODUCTS,$,69857903,62688649,15544603,15287764,-1.65,61030686,67975584,62431810,-8.16,1.98
42,WOOL NON-APPAREL PRODUCTS,$,443677523,472150912,108607100,136230315,25.43,487057839,437536571,499774127,14.22,45.00
60,MAN-MADE FIBER PRODUCTS,$,2160751068,2311667571,540713625,642593452,18.84,2390117664,2131979940,2413547398,13.21,4.23
61,MAN-MADE FIBER APPAREL PRODUCTS,$,916832510,871718379,234683251,256558468,9.32,890955216,875244882,893593596,2.10,2.33
62,MAN-MADE FIBER NON-APPAREL,$,1243918558,1439949192,306030374,386034984,26.14,1499162448,1256735058,1519953802,20.94,8.11
71,SILK APPAREL PRODUCTS,$,23414662,20424786,5365542,5186401,-3.34,20596812,22892204,20245645,-11.56,3.65
80,SILK AND VEG. PRODUCTS,$,287659828,346549550,129324784,149241213,15.40,358000554,302290101,366465979,21.23,11.89
81,SILK AND VEG. APPAREL,$,189100204,240114027,106007960,120583977,13.75,249460039,203509956,254690044,25.15,11.60
82,SILK & VEG. NON-APPAREL PRODUCTS,$,98559624,106435523,23316824,28657236,22.90,108540515,98780145,111775935,13.16,12.60
200,"YARN FOR RETAIL SALE,SEWING THREAD",$,34619809,44206157,8449262,10379807,22.85,45417610,35972618,46136702,28.26,15.75
201,SPECIALTY YARNS,$,18894841,25938317,5241226,6031791,15.08,26646098,20555473,26728882,30.03,9.05
218,FABRICS OF YARNS OF DIFF. COLORS,$,12982540,13782918,2773746,3401853,22.64,14563307,12536581,14411025,14.95,16.58
219,DUCK FABRIC,$,15583164,12762204,3469300,3099503,-10.66,13194605,15223809,12392407,-18.60,36.22
220,FABRIC OF SPECIAL WEAVE,$,22583903,24278951,5735496,7606758,32.63,25826022,22212795,26150213,17.73,16.66
222,KNIT FABRIC,$,65188882,75998390,21239531,19531486,-8.04,72529787,74099514,74290345,0.26,18.33
223,NON-WOVEN FABRICS,$,139483094,171851158,37921807,45845420,20.89,178019493,146972018,179774771,22.32,8.72
224,PILE & TUFTED FABRICS,$,16881537,23657400,4535639,4762668,5.01,23915296,17216738,23884429,38.73,8.08
225,BLUE DENIM FABRIC,$,1721333,1481587,529128,431151,-18.52,1468626,1572273,1383610,-12.00,4.45
226,"CHEESECLOTH, BATISTES, LAWNS/VOILE",$,15217980,15145946,3828673,3557447,-7.08,15204128,14623171,14874720,1.72,39.49
227,OXFORD CLOTH,$,273419,213111,135773,66057,-51.35,202933,287883,143395,-50.19,22.77
229,SPECIAL PURPOSE FABRIC,$,59756748,75836922,12267495,15320511,24.89,78404306,60070129,78889938,31.33,4.72
237,"PLAYSUITS, SUNSUITS, ETC",$,17937457,17971654,6642811,6839366,2.96,18599071,16572699,18168209,9.63,10.56
239,BABIES' GARM. & CLOTH. ACCESS.,$,296207546,351879528,76508118,114329744,49.43,383491779,302256645,389701154,28.93,19.26
300,CARDED COTTON YARN,$,4116610,3167879,697397,900930,29.18,3227779,3984407,3371412,-15.38,7.89
301,COMBED COTTON YARN,$,8700861,9523191,2256903,1879096,-16.74,9232884,8533009,9145384,7.18,22.54
313,COTTON SHEETING FABRIC,$,9200185,11224283,1754852,2574556,46.71,11716997,8829722,12043987,36.40,4.88
314,COTTON POPLIN & BROADCLOTH FAB.,$,6973069,7183460,1436297,2595044,80.68,8118136,7008840,8342207,19.02,8.76
315,COTTON PRINTCLOTH FABRIC,$,1096716,1801495,177850,162113,-8.85,1761902,1069814,1785758,66.92,12.86
317,COTTON TWILL FABRIC,$,9090674,8127437,1523438,2063922,35.48,8967421,8650538,8667921,0.20,18.86
326,COTTON SATEEN FABRIC,$,2107665,2032546,366602,884965,141.40,2507974,1959046,2550909,30.21,20.96
330,COTTON HANDKERCHIEFS,$,2884389,3524526,1143994,719705,-37.09,3420233,3365080,3100237,-7.87,28.21
331,COTTON GLOVES AND MITTENS,$,203772,325998,76948,153715,99.76,360313,230087,402765,75.05,0.77
332,COTTON HOSIERY,$,5670163,6987271,2652434,3660304,38.00,7502332,7588773,7995141,5.35,1.14
333,"M&B SUIT-TYPE COATS, COTTON",$,5079152,5065861,1607601,2780417,72.95,5908306,5129523,6238677,21.62,6.17
334,"OTHER M&B COATS, COTTON",$,66488160,65915590,6985048,9283533,32.91,67736374,63757740,68214075,6.99,8.61
335,W&G COTTON COATS,$,41652727,44141486,10679819,10663092,-0.16,43567940,43158362,44124759,2.24,5.77
336,COTTON DRESSES,$,405152660,415577843,151511013,199496464,31.67,439815764,390694693,463563294,18.65,32.89
338,"M&B KNIT SHIRTS, COTTON",$,686376299,751318383,157211984,203650261,29.54,784367972,655117176,797756660,21.77,9.86
339,"W&G KNIT SHIRTS/BLOUSES, COTTON",$,341715749,375565329,93736064,119123375,27.08,394581809,323369749,400952640,23.99,7.59
340,"M&B COTTON SHIRTS, NOT KNIT",$,277955498,249079958,58538215,78568249,34.22,261072132,272560555,269109992,-1.27,14.80
341,"W&G COT. SHIRTS/BLOUSES,N-KNIT",$,316306605,314905489,97086552,113749255,17.16,324646053,306104948,331568192,8.32,37.46
342,COTTON SKIRTS,$,38309588,51042350,18024118,26208262,45.41,55048175,41474403,59226494,42.80,16.08
345,COTTON SWEATERS,$,6969195,11856576,2152534,3087066,43.42,12778355,8044297,12791108,59.01,1.73
347,M&B COT. TROUSERS/BREECHES/SHORTS,$,148947294,147730043,38332406,45564949,18.87,152755926,144281917,154962586,7.40,2.90
348,W&G COTTON TROUSERS/SLACKS/SHORTS,$,166520313,191641307,51259666,63782531,24.43,199159864,166355908,204164172,22.73,3.84
349,"BRASSIERES, OTHER BODY SUPPORT GAR",$,6979108,5850633,1608698,2167736,34.75,5614509,7072496,6409671,-9.37,4.97
350,"COTTON DRESSING GOWNS, ROBES ETC.",$,16623185,19543223,4144098,5041148,21.65,20957623,15547571,20440273,31.47,12.55
351,COTTON NIGHTWEAR/PAJAMAS,$,142607307,163978028,21575017,29365093,36.11,169981846,141062156,171768104,21.77,23.74
352,COTTON UNDERWEAR,$,244282121,263751800,44072138,59817203,35.73,273532562,238684274,279496865,17.10,14.18
353,M&B DOWN-FILLED COATS,$,7019,6835,0,1347,,6835,6193,8182,32.12,0.08
354,W&G DOWN-FILLED COATS,$,1204,24792,12452,0,-100.00,15735,13656,12340,-9.64,0.18
359,OTHER COTTON APPAREL,$,80657638,85416568,19525762,24727215,26.64,89049431,75996757,90618021,19.24,8.21
360,COTTON PILLOWCASES,$,147223599,146127143,34942148,35145206,0.58,149067513,147886122,146330201,-1.05,56.13
361,COTTON SHEETS,$,702959577,774318539,172448584,175855952,1.98,783073864,726124369,777725907,7.11,61.28
362,COTTON BEDSPREADS & QUILTS,$,160688946,193906130,42295470,49805959,17.76,200092567,163234008,201416619,23.39,25.06
363,COTTON TERRY & OTHER PILE TOWELS,$,723971774,707517188,178062267,184371362,3.54,713844356,705792231,713826283,1.14,43.56
369,OTHER COTTON MANUFACTURES,$,822232435,874316312,184077033,224751701,22.10,900307785,811907669,914990980,12.70,30.41
400,WOOL YARNS,$,5571802,5697638,1521520,1433817,-5.76,5536482,5432978,5609935,3.26,4.20
410,WOOL WOVEN FABRIC,$,918414,1252644,174124,401971,130.85,1388618,845904,1480491,75.02,1.92
414,OTHER WOOL FABRICS,$,1978061,2128712,562884,451418,-19.80,2101676,2280204,2017246,-11.53,2.56
431,WOOL GLOVES/MITTENS,$,80766,339065,609,357,-41.38,338813,76516,338813,342.80,2.16
432,WOOL HOSIERY,$,22781,18129,0,40236,,57869,11175,58365,422.28,0.18
433,"M&B SUIT-TYPE COATS, WOOL",$,24600874,22287920,6190469,6791552,9.71,21874272,23598428,22889003,-3.01,5.35
434,OTHER M&B WOOL COATS,$,2434469,2732157,460792,155910,-66.16,2544003,2704038,2427275,-10.24,2.22
435,W&G WOOL COATS,$,1537582,1651258,213055,309342,45.19,1697970,1583142,1747545,10.38,0.45
436,WOOL DRESSES,$,1525275,1953183,387544,467559,20.65,2033465,1526234,2033198,33.22,2.17
438,WOOL KNIT SHIRTS/BLOUSES,$,1537983,2670960,1002859,468309,-53.30,2661246,2327952,2136410,-8.23,0.59
439,BABIES' GARMENTS/CLOTHING ACCESS.,$,63585,52570,0,0,,52570,33577,52570,56.57,1.83
440,"WOOL SHIRTS/BLOUSES, NOT-KNIT",$,669603,788353,104509,154692,48.02,800775,677327,838536,23.80,2.58
442,WOOL SKIRTS,$,365797,391942,24416,79169,224.25,442123,197696,446695,125.95,1.17
443,"M&B SUITS, WOOL",$,8303691,5757590,1786372,1216473,-31.90,5322857,7961722,5187691,-34.84,1.95
444,"W&G SUITS, WOOL",$,124681,138438,73745,20285,-72.49,123914,189977,84978,-55.27,2.26
445,"M&B SWEATERS, WOOL",$,154183,317316,3835,19512,408.79,328539,136182,332993,144.52,0.18
446,"W&G SWEATERS, WOOL",$,238471,418515,22295,73375,229.11,433758,251463,469595,86.75,0.09
447,M&B WOOL TROUSERS/BREECHES/SHORTS,$,14017939,12151973,3721826,3683500,-1.03,11141854,12942350,12113647,-6.40,5.69
448,W&G WOOL SLACKS/BREECHES/SHORTS,$,1041513,844673,236372,155174,-34.35,845771,999059,763475,-23.58,0.91
459,OTHER WOOL APPAREL,$,13138710,10174607,1315905,1652319,25.57,10330887,12758746,10511021,-17.62,2.69
464,WOOL BLANKETS,$,5590344,5295854,941319,1382086,46.82,5228055,4876168,5736621,17.65,13.30
465,WOOL FLOOR COVERINGS,$,424898871,453570454,104570544,131761125,26.00,468722589,419812875,480761035,14.52,63.38
469,OTHER WOOL MANUFACTURES,$,4720031,4205610,836709,799898,-4.40,4080419,4288442,4168799,-2.79,21.38
600,TEXTURED FILAMENT YARN,$,18186702,23993862,5451004,7788282,42.88,25371465,18734455,26331140,40.55,17.36
603,YARN >/85% ARTIFICIAL STAPLE FIBER,$,5023753,3044232,954131,544615,-42.92,2742965,5154065,2634716,-48.88,21.53
604,YARN >/85% SYNTHETIC STAPLE FIBER,$,20289110,18586941,4271802,3642880,-14.72,18469731,19833182,17958019,-9.45,20.82
606,NON-TEXTURED FILAMENT YARN,$,10744025,7850720,2503515,2053272,-17.98,8005414,10653506,7400477,-30.53,3.81
607,OTHER STAPLE FIBER YARN,$,2976796,4042226,633974,997491,57.34,4265139,2834871,4405743,55.41,11.13
611,WOVEN FABRIC >/85% ARTIF STPLE,$,541889,587643,153454,62165,-59.49,505942,572997,496354,-13.38,6.31
613,MMF SHEETING FABRIC,$,166722,163375,19244,26015,35.18,167700,155554,170146,9.38,3.21
614,MMF POPLIN & BROADCLOTH FABRIC,$,724907,990430,344246,128417,-62.70,804676,925818,774601,-16.33,5.37
615,MMF PRINTCLOTH FABRIC,$,6296,33944,6752,2994,-55.66,36938,13048,30186,131.35,2.75
617,MMF TWILL AND SATEEN FABRIC,$,1607430,983134,123186,848560,588.84,1571703,502038,1708508,240.31,12.99
618,WOVEN ARTIFICIAL FILAMENT FAB.,$,601063,511466,120615,238521,97.75,592526,504907,629372,24.65,5.11
619,POLYESTER FILAMENT FABRIC,$,8552274,4787748,1551278,965624,-37.75,4683136,7520274,4202094,-44.12,4.67
620,OTHER SYNTHETIC FILAMENT FABRIC,$,179323494,191365975,45169191,49006076,8.49,195697703,183325143,195202860,6.48,34.47
621,IMPRESSION FABRIC,$,110380,9306,2240,3765,68.08,10831,101689,10831,-89.35,0.38
622,GLASS FIBER FABRIC,$,489037,5113327,107314,1739231,1520.69,6104381,436417,6745244,1445.60,5.65
624,"WOVEN MMF FABRIC, 15%\<WOOL\<36%",$,1691619,1713011,862556,65117,-92.45,1717028,1991126,915572,-54.02,10.70
625,MMF POPLIN&BROADCLTH STAP/FIL,$,315587,151996,21363,22002,2.99,161263,203032,152635,-24.82,4.25
626,MMF PRINTCLOTH STAP/FIL,$,80148,208276,41233,39062,-5.27,213627,110758,206105,86.09,40.04
627,MMF SHEETING STAP/FIL,$,136837,120430,17088,62439,265.40,148186,139668,165781,18.70,12.62
628,MMF TWILLS/SATEENS STAP/FIL,$,242830,201904,26893,51040,89.79,216685,202874,226051,11.42,3.53
629,OTHER MMF FABRICS OF STAP/FIL,$,12757663,12779439,3192478,3557426,11.43,13249011,12647176,13144387,3.93,17.67
630,MMF HANDKERCHIEFS,$,97328,42676,25780,8232,-68.07,25970,93175,25128,-73.03,0.49
631,MMF GLOVES AND MITTENS,$,1090151,1312767,71484,585084,718.48,1623712,797640,1826367,128.97,0.24
632,MMF HOSIERY,$,20535113,36471706,6149112,4538642,-26.19,36812205,22410442,34861236,55.56,2.27
633,M&B MMF SUIT-TYPE COATS,$,14732482,14685521,4744091,5040833,6.25,15356160,15630350,14982263,-4.15,6.37
634,OTHER M&B MMF COATS,$,21538123,25311714,2063053,2756170,33.60,26108975,20545665,26004831,26.57,1.29
635,W&G MMF COATS,$,20369872,15407477,3058121,2473052,-19.13,15143750,18904143,14822408,-21.59,0.71
636,MMF DRESSES,$,279565016,246219089,77975111,83123420,6.60,248456881,261898921,251367398,-4.02,9.71
638,M&B MMF KNIT SHIRTS,$,37932399,28419760,7487689,7534440,0.62,28684646,33206469,28466511,-14.27,0.60
639,W&G MMF KNIT SHIRTS & BLOUSES,$,29023029,33035657,7525446,9232362,22.68,34392892,30405449,34742573,14.26,1.00
640,M&B NOT-KNIT MMF SHIRTS,$,43289898,35618926,13385759,12664415,-5.39,36446182,37274864,34897582,-6.38,3.94
641,W&G NOT-KNIT MMF SHIRTS & BLOUSES,$,145008320,114168014,31246221,35218392,12.71,116144903,135129771,118140185,-12.57,12.24
642,MMF SKIRTS,$,32837018,30990181,8395833,12419712,47.93,33489706,31806142,35014060,10.09,5.70
643,M&B MMF SUITS,$,1097894,723415,152820,167246,9.44,775715,586639,737841,25.77,1.28
644,W&G MMF SUITS,$,456569,582728,198865,268860,35.20,571643,492926,652723,32.42,3.97
645,M&B MMF SWEATERS,$,1197317,1591692,213788,331636,55.12,1631385,1310266,1709540,30.47,2.50
646,W&G MMF SWEATERS,$,425494,662693,88474,55371,-37.42,626048,498600,629590,26.27,0.15
647,M&B MMF TROUSERS/BREECHES/SHORTS,$,26092308,23991633,6258585,9764891,56.02,26670348,22957027,27497939,19.78,0.79
648,W&G MMF SLACKS/BREECHES/SHORTS,$,41386408,35673148,13037830,12353578,-5.25,35347656,40884206,34988896,-14.42,0.98
649,MMF BRAS & OTH BODY SUPPORT GARM,$,25850266,20208852,5897189,3326829,-43.59,18650664,25511746,17638492,-30.86,0.87
650,"MMF ROBES, DRESSING GOWNS, ETC.",$,4998434,6080881,1632940,1565467,-4.13,6073033,4825426,6013408,24.62,1.49
651,MMF NIGHTWEAR & PAJAMAS,$,15681099,26638117,5069790,6337730,25.01,28098059,17829235,27906057,56.52,2.24
652,MMF UNDERWEAR,$,68928063,89003323,20017080,23951068,19.65,91779384,71012146,92937311,30.88,5.80
653,M&B MMF DOWN-FILLED COATS,$,27678,163413,11368,6727,-40.83,156884,17440,158772,810.39,0.07
654,W&G MMF DOWN-FILLED COATS,$,569815,403865,19238,2347,-87.80,405005,588281,386974,-34.22,0.14
659,OTHER MMF APPAREL,$,62804214,57261291,14196875,15419308,8.61,58567773,58803786,58483724,-0.54,1.27
665,MMF FLOOR COVERINGS,$,299177689,345254498,81666930,99502040,21.84,358992102,306236929,363089608,18.56,17.55
666,OTHER MMF FURNISHINGS,$,137945223,152402228,23680501,39275320,65.86,162332957,131366687,167997047,27.88,3.12
669,OTHER MMF MANUFACTURES,$,257306049,301478286,60551845,83863229,38.50,317104084,255122972,324789670,27.31,21.77
