Category,Description,Units,2023,2024,YTD Current Month/2024,YTD Current Month/2025,YTD % Change,YE Previous Month/2025,YE Current Month/2024,YE Current Month/2025,YE % Change,Percent Share
0,TOTAL TEXTILE AND APPAREL IMPORTS (MFA),$,15310019465,16319554494,3701666495,4221421469,14.04,16608631832,15382078255,16839309468,9.47,15.31
1,TOTAL APPAREL IMPORTS (MFA),$,14179252525,14975604951,3400457478,3875742420,13.98,15240259162,14213895962,15450889893,8.70,19.02
2,TOTAL NON-APPAREL IMPORTS (MFA),$,1130766940,1343949543,301209017,345679049,14.76,1368372670,1168182293,1388419575,18.85,4.83
11,TOTAL YARN IMPORTS,$,45758755,65654130,13144060,14458917,10.00,65817151,45471763,66968987,47.28,5.17
12,TOTAL FABRIC IMPORTS,$,289025811,307864212,69340187,71141641,2.60,313071194,281007625,309665666,10.20,4.83
14,TOTAL OTHER MISC. IMPORTS,$,795982374,970431201,218724770,260078491,18.91,989484325,841702905,1011784922,20.21,4.80
30,COTTON PRODUCTS,$,5597592558,5866977729,1276823470,1518217679,18.91,5980499086,5556198464,6108371938,9.94,13.42
31,COTTON APPAREL PRODUCTS,$,5468185826,5723482258,1243928256,1469446780,18.13,5825609205,5424631255,5949000782,9.67,15.87
32,COTTON NON-APPAREL PRODUCTS,$,129406732,143495471,32895214,48770899,48.26,154889881,131567209,159371156,21.13,1.98
40,WOOL PRODUCTS,$,181152116,210374293,21672827,24950798,15.12,210974369,175072501,213652264,22.04,5.01
41,WOOL APPAREL PRODUCTS,$,179438375,208794865,21383864,23928806,11.90,208921417,173450878,211339807,21.84,6.69
42,WOOL NON-APPAREL PRODUCTS,$,1713741,1579428,288963,1021992,253.68,2052952,1621623,2312457,42.60,0.21
60,MAN-MADE FIBER PRODUCTS,$,9264448553,9920054129,2243211692,2515930746,12.16,10099849990,9360275072,10192773183,8.89,17.85
61,MAN-MADE FIBER APPAREL PRODUCTS,$,8281472408,8745743216,1980498898,2225909790,12.39,8912517465,8344386583,8991154108,7.75,23.43
62,MAN-MADE FIBER NON-APPAREL,$,982976145,1174310913,262712794,290020956,10.39,1187332525,1015888489,1201619075,18.28,6.41
71,SILK APPAREL PRODUCTS,$,11560094,7292016,2733753,1512315,-44.68,6527262,11522762,6070578,-47.32,1.09
80,SILK AND VEG. PRODUCTS,$,266826238,322148343,159958506,162322246,1.48,317308387,290532218,324512083,11.70,10.52
81,SILK AND VEG. APPAREL,$,250155916,297584612,154646460,156457044,1.17,293211075,271427246,299395196,10.30,13.63
82,SILK & VEG. NON-APPAREL PRODUCTS,$,16670322,24563731,5312046,5865202,10.41,24097312,19104972,25116887,31.47,2.83
200,"YARN FOR RETAIL SALE,SEWING THREAD",$,3298087,2788674,209406,1027543,390.69,3141031,2537845,3606811,42.12,1.23
201,SPECIALTY YARNS,$,12319993,21589533,4360818,5145116,17.99,21413646,14082850,22373831,58.87,7.58
218,FABRICS OF YARNS OF DIFF. COLORS,$,395512,196241,32269,36814,14.08,191901,294381,200786,-31.79,0.23
219,DUCK FABRIC,$,32553,9696,1845,0,-100.00,7851,34398,7851,-77.18,0.02
