Country,Category,Description,Units,Year,Month,Quantity,Value,M2
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,1,3129411,86321373,18776466
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,2,3477346,89223484,20864076
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,3590744,90256311,21544464
China,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,1,1449565,56208824,8697390
China,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,2,1113877,37115455,6683262
China,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,802494,26883576,4814964
Honduras,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,1,1295306,37099615,7771836
Honduras,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,2,1798454,52468090,10790724
Honduras,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,2587403,72321595,15524418
India,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,1,1959738,68456904,11758428
India,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,2,1886683,63869513,11320098
India,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,2175921,71323844,13055526
Nicaragua,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,1,1914810,42557707,11488860
Nicaragua,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,2,1595222,34458736,9571332
Nicaragua,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,2402862,51941418,14417172
Vietnam,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,1,1425956,77469235,8555736
Vietnam,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,2,1141511,56398815,6849066
Vietnam,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2025,3,1533575,76461523,9201450
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,1,1970003,55226538,11820018
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,2,2118482,56429708,12710892
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,3,2100738,57817618,12604428
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,4,2553363,63405335,15320178
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,5,2849209,71136100,17095254
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,6,1626059,43085981,9756354
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,7,3190738,85717805,19144428
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,8,2141192,61679118,12847152
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,9,2154689,71488326,12928134
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,10,2616430,81515394,15698580
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,11,2564013,74019599,15384078
Bangladesh,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,12,2938683,78269477,17632098
China,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,1,1587308,45629370,9523848
China,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,2,1058687,30559484,6352122
China,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,3,801430,26757145,4808580
China,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,4,769102,24488765,4614612
China,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,5,1294558,34165085,7767348
China,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,6,1404971,50368646,8429826
China,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,7,1585484,64846025,9512904
China,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,8,1488465,53843190,8930790
China,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,9,1551316,57231644,9307896
China,338,"Doz M&B KNIT SHIRTS, COTTON",DOZ,2024,10,1382417,55186904,8294502
