country,year_month,monthly_total
Bangladesh,2024-01-01,1970003
Bangladesh,2024-02-01,2118482
Bangladesh,2024-03-01,2100738
Bangladesh,2024-04-01,2553363
Bangladesh,2024-05-01,2849209
Bangladesh,2024-06-01,1626059
Bangladesh,2024-07-01,3190738
Bangladesh,2024-08-01,2141192
Bangladesh,2024-09-01,2154689
Bangladesh,2024-10-01,2616430
Bangladesh,2024-11-01,2564013
Bangladesh,2024-12-01,2938683
Bangladesh,2025-01-01,3129411
Bangladesh,2025-02-01,3477346
Bangladesh,2025-03-01,3590744
China,2024-01-01,1587308
China,2024-02-01,1058687
China,2024-03-01,801430
China,2024-04-01,769102
China,2024-05-01,1294558
China,2024-06-01,1404971
China,2024-07-01,1585484
China,2024-08-01,1488465
China,2024-09-01,1551316
China,2024-10-01,1382417
China,2024-11-01,1217933
China,2024-12-01,1145338
China,2025-01-01,1449565
China,2025-02-01,1113877
China,2025-03-01,802494
Honduras,2024-01-01,1802011
Honduras,2024-02-01,2204539
Honduras,2024-03-01,2143184
Honduras,2024-04-01,1924230
Honduras,2024-05-01,2241097
Honduras,2024-06-01,2018941
Honduras,2024-07-01,2052802
Honduras,2024-08-01,2297372
Honduras,2024-09-01,2188325
Honduras,2024-10-01,2070605
Honduras,2024-11-01,2150846
Honduras,2024-12-01,2481781
Honduras,2025-01-01,1295306
Honduras,2025-02-01,1798454
Honduras,2025-03-01,2587403
India,2024-01-01,1228852
India,2024-02-01,1613657
India,2024-03-01,1716636
India,2024-04-01,1834663
India,2024-05-01,2233560
India,2024-06-01,1795220
India,2024-07-01,1820049
India,2024-08-01,1714282
India,2024-09-01,2122406
India,2024-10-01,2286162
India,2024-11-01,1548764
India,2024-12-01,1466409
India,2025-01-01,1959738
India,2025-02-01,1886683
India,2025-03-01,2175921
Nicaragua,2024-01-01,1700143
Nicaragua,2024-02-01,1845144
Nicaragua,2024-03-01,2004849
Nicaragua,2024-04-01,1747096
Nicaragua,2024-05-01,1800016
Nicaragua,2024-06-01,1394396
Nicaragua,2024-07-01,1431821
Nicaragua,2024-08-01,1951973
Nicaragua,2024-09-01,2022296
Nicaragua,2024-10-01,2458926
Nicaragua,2024-11-01,2079381
Nicaragua,2024-12-01,2422473
Nicaragua,2025-01-01,1914810
Nicaragua,2025-02-01,1595222
Nicaragua,2025-03-01,2402862
Vietnam,2024-01-01,1057020
Vietnam,2024-02-01,1251658
Vietnam,2024-03-01,1159017
Vietnam,2024-04-01,982639
Vietnam,2024-05-01,1626094
Vietnam,2024-06-01,1365921
Vietnam,2024-07-01,1889169
Vietnam,2024-08-01,1443004
Vietnam,2024-09-01,1882478
Vietnam,2024-10-01,1682159
Vietnam,2024-11-01,1423825
Vietnam,2024-12-01,1243173
Vietnam,2025-01-01,1425956
Vietnam,2025-02-01,1141511
Vietnam,2025-03-01,1533575
