country,year_month,monthly_total
Bangladesh,2020-01-01,39969714
Bangladesh,2020-02-01,29059934
Bangladesh,2020-03-01,29544026
Bangladesh,2020-04-01,21872598
Bangladesh,2020-05-01,12064024
Bangladesh,2020-06-01,14328025
Bangladesh,2020-07-01,24090889
Bangladesh,2020-08-01,37456529
Bangladesh,2020-09-01,29727027
Bangladesh,2020-10-01,38430048
Bangladesh,2020-11-01,30568321
Bangladesh,2020-12-01,29359725
Bangladesh,2021-01-01,35745806
Bangladesh,2021-02-01,35342407
Bangladesh,2021-03-01,38688165
Bangladesh,2021-04-01,37525763
Bangladesh,2021-05-01,51166944
Bangladesh,2021-06-01,55182947
Bangladesh,2021-07-01,52562719
Bangladesh,2021-08-01,57575393
Bangladesh,2021-09-01,63232197
Bangladesh,2021-10-01,63486030
Bangladesh,2021-11-01,68738562
Bangladesh,2021-12-01,76709260
Bangladesh,2022-01-01,62410497
Bangladesh,2022-02-01,68790731
Bangladesh,2022-03-01,96110872
Bangladesh,2022-04-01,81080934
Bangladesh,2022-05-01,80989393
Bangladesh,2022-06-01,87600215
Bangladesh,2022-07-01,71424257
Bangladesh,2022-08-01,95717844
Bangladesh,2022-09-01,86261463
Bangladesh,2022-10-01,84787234
Bangladesh,2022-11-01,56764970
Bangladesh,2022-12-01,67872169
Bangladesh,2023-01-01,70616047
Bangladesh,2023-02-01,48334836
Bangladesh,2023-03-01,51893141
Bangladesh,2023-04-01,54789352
Bangladesh,2023-05-01,56223475
Bangladesh,2023-06-01,46623762
Bangladesh,2023-07-01,71585395
Bangladesh,2023-08-01,56940642
Bangladesh,2023-09-01,53504379
Bangladesh,2023-10-01,58780593
Bangladesh,2023-11-01,54096639
Bangladesh,2023-12-01,49342304
Bangladesh,2024-01-01,55226538
Bangladesh,2024-02-01,56429708
Bangladesh,2024-03-01,57817618
Bangladesh,2024-04-01,63405335
Bangladesh,2024-05-01,71136100
Bangladesh,2024-06-01,43085981
Bangladesh,2024-07-01,85717805
Bangladesh,2024-08-01,61679118
Bangladesh,2024-09-01,71488326
Bangladesh,2024-10-01,81515394
Bangladesh,2024-11-01,74019599
Bangladesh,2024-12-01,78269477
Bangladesh,2025-01-01,86321373
Bangladesh,2025-02-01,89223484
Bangladesh,2025-03-01,90256311
China,2020-01-01,41804442
China,2020-02-01,28517311
China,2020-03-01,17410307
China,2020-04-01,20213799
China,2020-05-01,21449361
China,2020-06-01,37382948
China,2020-07-01,44936851
China,2020-08-01,54434474
China,2020-09-01,47222918
China,2020-10-01,53584003
China,2020-11-01,44454686
China,2020-12-01,35583326
China,2021-01-01,40352725
China,2021-02-01,38264133
China,2021-03-01,39136589
China,2021-04-01,28177548
China,2021-05-01,35739283
China,2021-06-01,53808137
China,2021-07-01,54935156
China,2021-08-01,64443255
China,2021-09-01,70627440
China,2021-10-01,71552964
China,2021-11-01,57207956
China,2021-12-01,55027353
China,2022-01-01,64020381
China,2022-02-01,53706131
China,2022-03-01,56547121
China,2022-04-01,41894197
China,2022-05-01,55871987
China,2022-06-01,77358715
China,2022-07-01,90479851
China,2022-08-01,91780608
China,2022-09-01,73325364
China,2022-10-01,49140205
China,2022-11-01,34561254
China,2022-12-01,38602221
China,2023-01-01,40146554
China,2023-02-01,28083499
China,2023-03-01,27170291
China,2023-04-01,30606295
China,2023-05-01,37290964
China,2023-06-01,45873335
China,2023-07-01,54502949
China,2023-08-01,50863420
China,2023-09-01,50261143
China,2023-10-01,41793469
China,2023-11-01,30285024
China,2023-12-01,36522800
China,2024-01-01,45629370
China,2024-02-01,30559484
China,2024-03-01,26757145
China,2024-04-01,24488765
China,2024-05-01,34165085
China,2024-06-01,50368646
China,2024-07-01,64846025
China,2024-08-01,53843190
China,2024-09-01,57231644
China,2024-10-01,55186904
China,2024-11-01,45234158
China,2024-12-01,44711309
China,2025-01-01,56208824
China,2025-02-01,37115455
China,2025-03-01,26883576
Honduras,2020-01-01,41848143
Honduras,2020-02-01,60252787
Honduras,2020-03-01,50748633
Honduras,2020-04-01,2969752
Honduras,2020-05-01,5891853
Honduras,2020-06-01,13832534
Honduras,2020-07-01,34806186
Honduras,2020-08-01,48251314
Honduras,2020-09-01,56107295
Honduras,2020-10-01,68798371
Honduras,2020-11-01,39380433
Honduras,2020-12-01,41535669
Honduras,2021-01-01,35064786
Honduras,2021-02-01,50389161
Honduras,2021-03-01,61089586
Honduras,2021-04-01,55006789
Honduras,2021-05-01,61423456
Honduras,2021-06-01,69451646
Honduras,2021-07-01,68941400
Honduras,2021-08-01,64158198
Honduras,2021-09-01,66251532
Honduras,2021-10-01,60965686
Honduras,2021-11-01,66633482
Honduras,2021-12-01,62613225
Honduras,2022-01-01,43676065
Honduras,2022-02-01,60156499
Honduras,2022-03-01,79293014
Honduras,2022-04-01,65349261
Honduras,2022-05-01,78744435
Honduras,2022-06-01,88037317
Honduras,2022-07-01,82726427
Honduras,2022-08-01,92713332
Honduras,2022-09-01,94739995
Honduras,2022-10-01,87335193
Honduras,2022-11-01,94722663
Honduras,2022-12-01,76837320
Honduras,2023-01-01,36438384
Honduras,2023-02-01,62823556
Honduras,2023-03-01,69068819
Honduras,2023-04-01,48194397
Honduras,2023-05-01,81085328
Honduras,2023-06-01,71960807
Honduras,2023-07-01,60738412
Honduras,2023-08-01,64705838
Honduras,2023-09-01,64160472
Honduras,2023-10-01,65139786
Honduras,2023-11-01,60106602
Honduras,2023-12-01,66424687
Honduras,2024-01-01,55871151
Honduras,2024-02-01,66138921
Honduras,2024-03-01,61556820
Honduras,2024-04-01,59720847
Honduras,2024-05-01,69793100
Honduras,2024-06-01,62587536
Honduras,2024-07-01,64057455
Honduras,2024-08-01,68616857
Honduras,2024-09-01,66680244
Honduras,2024-10-01,62079022
Honduras,2024-11-01,61552142
Honduras,2024-12-01,70600738
Honduras,2025-01-01,37099615
Honduras,2025-02-01,52468090
Honduras,2025-03-01,72321595
India,2020-01-01,53252446
India,2020-02-01,45716128
India,2020-03-01,48087981
India,2020-04-01,43889250
India,2020-05-01,7946260
India,2020-06-01,11160665
India,2020-07-01,28557281
India,2020-08-01,42933447
India,2020-09-01,46019929
India,2020-10-01,51791562
India,2020-11-01,37540000
India,2020-12-01,26097629
India,2021-01-01,45725899
India,2021-02-01,37928367
India,2021-03-01,52580333
India,2021-04-01,46567200
India,2021-05-01,61942653
India,2021-06-01,43194230
India,2021-07-01,42141501
India,2021-08-01,56631977
India,2021-09-01,61654842
India,2021-10-01,66015907
India,2021-11-01,60840818
India,2021-12-01,63081563
India,2022-01-01,61335747
India,2022-02-01,58670901
India,2022-03-01,95431875
India,2022-04-01,79152477
India,2022-05-01,78022191
India,2022-06-01,72854596
India,2022-07-01,88457539
India,2022-08-01,68322669
India,2022-09-01,74046058
India,2022-10-01,62291311
India,2022-11-01,50519089
India,2022-12-01,61049829
India,2023-01-01,70141005
India,2023-02-01,50922504
India,2023-03-01,67349786
India,2023-04-01,55243723
India,2023-05-01,54281314
India,2023-06-01,64901131
India,2023-07-01,74647745
India,2023-08-01,57844313
India,2023-09-01,57884924
India,2023-10-01,53301809
India,2023-11-01,36806171
India,2023-12-01,43225508
India,2024-01-01,44098105
India,2024-02-01,55217646
India,2024-03-01,57935156
India,2024-04-01,62288058
India,2024-05-01,69399001
India,2024-06-01,60278478
India,2024-07-01,67981976
India,2024-08-01,63545266
India,2024-09-01,79538331
India,2024-10-01,83837498
India,2024-11-01,57514118
India,2024-12-01,49723558
India,2025-01-01,68456904
India,2025-02-01,63869513
India,2025-03-01,71323844
Nicaragua,2020-01-01,28932990
Nicaragua,2020-02-01,31276795
Nicaragua,2020-03-01,30059778
Nicaragua,2020-04-01,9423227
Nicaragua,2020-05-01,5263866
Nicaragua,2020-06-01,18350751
Nicaragua,2020-07-01,26532151
